Substance,CAS,URL Link,Uses
Methazole,20354-26-1,https://pubchem.ncbi.nlm.nih.gov/compound/20354-26-1,
Methimazole,60-56-0,https://pubchem.ncbi.nlm.nih.gov/compound/60-56-0,
Methotrexate,59-05-2,https://pubchem.ncbi.nlm.nih.gov/compound/59-05-2,Human drug
Methotrexate sodium,,,
5-Methoxypsoralen with ultraviolet A therapy,,,
8-Methoxypsoralen with ultraviolet A therapy,,,
2-Methylaziridine (Propyleneimine),,,
Methylazoxymethanol,,,
Methylazoxymethanol acetate,,,
"Methyl bromide, as a structural fumigant",,,
Methyl carbamate,598-55-0,https://pubchem.ncbi.nlm.nih.gov/compound/598-55-0,"Adhesives and sealant chemicals, Paint additives and coating additives not described by other categories"
Methyl chloride,74-87-3,https://pubchem.ncbi.nlm.nih.gov/compound/74-87-3,"Volatile organic compounds, Methyl chloride is used mainly in the production of silicones where it is used to make methylate silicon. It is also used in the production of agricultural chemicals, methyl cellulose, quaternary amines, and butyl rubber and for miscellaneous uses including tetramethyl lead., Methyl chloride was used widely in refrigerators in the past, but generally this use has been taken over by newer chemicals such as Freon., Adhesives and sealant chemicals, Adhesives and Sealants"
"Methyl chloride [Basis for listing changed effective March 7, 2014]",,,
3-Methylcholanthrene,56-49-5,https://pubchem.ncbi.nlm.nih.gov/compound/56-49-5,
5-Methylchrysene,3697-24-3,https://pubchem.ncbi.nlm.nih.gov/compound/3697-24-3,
"4,4'-Methylene bis(2-chloroaniline)",101-14-4,https://pubchem.ncbi.nlm.nih.gov/compound/101-14-4,"Benzidines/Aromatic amines, MBOCA is used as a curing agent for liquid polyurethane elastomers. These elastomers have been used to produce shoe soles; rolls for postage stamp machines; cutting bars in plywood manufacturing; rolls and belt drives in cameras, computers, and reproducing equipment; and pulleys for escalators and elevators., Process regulators, Plastic and Rubber Products not covered elsewhere"
"4,4'-Methylene bis(N,N-dimethyl)benzenamine",101-61-1,https://pubchem.ncbi.nlm.nih.gov/compound/101-61-1,
"4,4'-Methylene bis(2-methylaniline)",,,
"4,4'-Methylenedianiline",101-77-9,https://pubchem.ncbi.nlm.nih.gov/compound/101-77-9,"Benzidines/Aromatic amines, MDA is primarily used to produce 4,4-'methylenedianiline diisocyanate and other polymeric isocyanates which are used to manufacture polyurethane foams., MDA is also used as a curing agent for epoxy resins and urethane elastomers, as a corrosion preventative for iron, as an antioxidant for lubricating oils, as a rubber processing chemical, as an intermediate in the manufacture of elastomeric fibers (e.g., Spandex), and in the preparation of azo dyes., Process regulators"
"4,4'-Methylenedianiline dihydrochloride",,,
Methyleugenol,93-15-2,https://pubchem.ncbi.nlm.nih.gov/compound/93-15-2,
Methylhydrazine and its salts,,,
Methylhydrazine,60-34-4,https://pubchem.ncbi.nlm.nih.gov/compound/60-34-4,"Methylhydrazine is primarily used as a high-energy fuel in military applications, as a rocket propellant and fuel for thrusters, and as fuel for small electrical power generating units., Methylhydrazine is also used as a chemical intermediate and as a solvent."
Methylhydrazine sulfate,,,
2-Methylimidazole,693-98-1,https://pubchem.ncbi.nlm.nih.gov/compound/693-98-1,
4-Methylimidazole,822-36-6,https://pubchem.ncbi.nlm.nih.gov/compound/822-36-6,
Methyl iodide,74-88-4,https://pubchem.ncbi.nlm.nih.gov/compound/74-88-4,"Methyl iodide is used as an intermediate in the manufacture of some pharmaceuticals and pesticides. It is also used in methylation processes and in the field of microscopy., Proposed uses of methyl iodide are as a fire extinguisher and as an insecticidal fumigant., Functional fluids (open systems)"
Methyl isobutyl ketone,108-10-1,https://pubchem.ncbi.nlm.nih.gov/compound/108-10-1,"Food additives ,  Flavoring Agents, Paint additives and coating additives not described by other categories, Processing aids, not otherwise listed, Solvents (for cleaning or degreasing), Solvents (which become part of product formulation or mixture), Paints and Coatings"
Methyl isobutyl ketone (MIBK),,,
Methyl isocyanate (MIC),,,
Methyl mercury,,,
Methylmercury compounds,,,
Methyl methanesulfonate,66-27-3,https://pubchem.ncbi.nlm.nih.gov/compound/66-27-3,
Methyl-n-butyl ketone,591-78-6,https://pubchem.ncbi.nlm.nih.gov/compound/591-78-6,Volatile organic compounds
"Methyl-n-butyl ketone [Basis for listing changed effective November 9, 2015]",,,
2-Methyl-1-nitroanthraquinone (of uncertain purity),,,
,,,
N-Methylolacrylamide,924-42-5,https://pubchem.ncbi.nlm.nih.gov/compound/924-42-5,"Adhesives and sealant chemicals, Processing aids, not otherwise listed, Adhesives and Sealants, Fabric, Textile, and Leather Products not covered elsewhere"
N-Methylpyrrolidone,872-50-4,https://pubchem.ncbi.nlm.nih.gov/compound/872-50-4,"Adhesives and sealant chemicals, Paint additives and coating additives not described by other categories, Plating agents and surface treating agents, Processing aids, not otherwise listed, Processing aids, specific to petroleum production, Solvents (for cleaning or degreasing), Solvents (which become part of product formulation or mixture), Adhesives and Sealants, Electrical and Electronic Products, Fabric, Textile, and Leather Products not covered elsewhere, Metal Products not covered elsewhere, Paints and Coatings"
α-Methyl styrene (alpha-Methylstyrene),,,
,,,
Methyltestosterone,58-18-4,https://pubchem.ncbi.nlm.nih.gov/compound/58-18-4,
Methylthiouracil,56-04-2,https://pubchem.ncbi.nlm.nih.gov/compound/56-04-2,
Metiram,,,
Metiram,,,
Metronidazole,443-48-1,https://pubchem.ncbi.nlm.nih.gov/compound/443-48-1,Human drug
Michler's ketone,90-94-8,https://pubchem.ncbi.nlm.nih.gov/compound/90-94-8,
Midazolam hydrochloride,,,
Minocycline hydrochloride (internal use),,,
Mirex,2385-85-5,https://pubchem.ncbi.nlm.nih.gov/compound/2385-85-5,
Misoprostol,59122-46-2,https://pubchem.ncbi.nlm.nih.gov/compound/59122-46-2,
Mitomycin C,50-07-7,https://pubchem.ncbi.nlm.nih.gov/compound/50-07-7,
Mitoxantrone hydrochloride,,,
Mitoxantrone hydrochloride,,,
Molinate,2212-67-1,https://pubchem.ncbi.nlm.nih.gov/compound/2212-67-1,
"MON 4660 (dichloroacetyl-1-oxa-4-azaspiro(4,5)-decane",,,
MON 13900 (furilazole),,,
"3-Monochloropropane-1,2-diol (3-MCPD)",,,
Monocrotaline,315-22-0,https://pubchem.ncbi.nlm.nih.gov/compound/315-22-0,
MOPP (vincristine-prednisone-nitrogen mustard-procarbazine mixture),,,
5-(Morpholinomethyl)-3-[(5-nitrofurfuryl-idene)-amino]-2-oxazolidinone,,,
Mustard Gas,505-60-2,https://pubchem.ncbi.nlm.nih.gov/compound/505-60-2,"Warfare and Terrorism Agents (used in acts of war or terror), Sulfur mustard (military designation HD or H) is a blister agent (vesicant) that causes severe, delayed burns to the eyes, skin, and respiratory tract. Sulfur mustard damages cells within minutes of contact; however, the onset of pain and other health effects is delayed until hours after exposure. Large exposures to sulfur mustard may be fatal. Sulfur mustard is also an alkylating agent that damages the cells within the bone marrow that are necessary for making blood cells; this affects the body’s immune system. Finally, sulfur mustard also affects a part of the nervous system responsible for everyday bodily function, causing “cholinergic toxicity,” marked by excessive saliva, tears and urine; gastrointestinal (GI) cramping and diarrhea; vomiting (emesis); and constricted or pinpoint pupils (miosis). Sulfur mustard has been used as a chemical warfare agent to cause delayed casualties. It has an odor of garlic, onion, horseradish, or mustard. However, odor is not a reliable indicator of sulfur mustard and should not be depended on to warn of sulfur mustard exposure."
MX (3-chloro-4-dichloromethyl-5-hydroxy-2(5H)-furanone),,,
Myclobutanil,88671-89-0,https://pubchem.ncbi.nlm.nih.gov/compound/88671-89-0,
beta-Myrcene,123-35-3,https://pubchem.ncbi.nlm.nih.gov/compound/123-35-3,"Food additives ,  Flavoring Agents, Odor agents, Solvents (for cleaning or degreasing), Cleaning and Furnishing Care Products, Laundry and Dishwashing Products"
Nabam,,,
Nafarelin acetate,,,
Nafenopin,3771-19-5,https://pubchem.ncbi.nlm.nih.gov/compound/3771-19-5,
Nalidixic acid,389-08-2,https://pubchem.ncbi.nlm.nih.gov/compound/389-08-2,
Naphthalene,91-20-3,https://pubchem.ncbi.nlm.nih.gov/compound/91-20-3,"The primary use for naphthalene is in the production of phthalic anhydride. However, o-xylene is replacing naphthalene as the preferred raw material for phthalic anhydride production., Other uses of naphthalene include carbamate insecticides, surface active agents and resins, as a dye intermediate, as a synthetic tanning agent, as a moth repellent, and in miscellaneous organic chemicals., Adhesives and sealant chemicals, Agricultural chemicals (non-pesticidal), Fuels and fuel additives, Functional fluids (closed systems), Ion exchange agents, Paint additives and coating additives not described by other categories, Processing aids, not otherwise listed, Solvents (which become part of product formulation or mixture), Surface active agents, Fuels and Related Products"
1-Naphthylamine,134-32-7,https://pubchem.ncbi.nlm.nih.gov/compound/134-32-7,
2-Naphthylamine,91-59-8,https://pubchem.ncbi.nlm.nih.gov/compound/91-59-8,
Neomycin sulfate (internal use),,,
Netilmicin sulfate,,,
Nickel (Metallic),,,
Nickel acetate,,,
Nickel carbonate,,,
Nickel carbonyl,13463-39-3,https://pubchem.ncbi.nlm.nih.gov/compound/13463-39-3,
Nickel carbonyl,13463-39-3,https://pubchem.ncbi.nlm.nih.gov/compound/13463-39-3,
Nickel compounds,,,
Nickel hydroxide,,,
Nickelocene,1271-28-9,https://pubchem.ncbi.nlm.nih.gov/compound/1271-28-9,
Nickel oxide,,,
Nickel refinery dust from the pyrometallurgical process,,,
Nickel subsulfide,,,
Nicotine,54-11-5,https://pubchem.ncbi.nlm.nih.gov/compound/54-11-5,"Nicotine is a naturally occurring toxic chemical found in tobacco plants. It has a fishy odor when warm. Cigarettes, cigars, other tobacco products, and tobacco smoke contain nicotine. Worker exposure may occur during processing and extraction of tobacco. At one time, nicotine was used in the United States as an insecticide and fumigant; however, it is no longer produced or used in this country for this purpose. Nicotine affects the nervous system and the heart. Exposure to relatively small amounts can rapidly be fatal."
Nifedipine,21829-25-4,https://pubchem.ncbi.nlm.nih.gov/compound/21829-25-4,Human drug
